"","resid_Place","resid_identity","pid7","PARTY","FT_DemParty","FT_RepParty","FT_Biden_pre","FT_Trump_pre","FT_Biden_post","FT_Trump_post","FT_Fauci","FT_fundamentalist","FT_Feminists","FT_Liberals","FT_laborUnions","FT_bigBusiness","FT_conservatives","FT_SCOTUS","FT_gaymen","FT_Congress","FT_Muslims","FT_Christians","FT_Jewish","FT_police","FT_Transpeople","FT_Scientist","FT_BLM","FT_journalists","FT_Socialist","FT_capitalist","FT_rural","FT_WHO","FT_CDC","ideo7","gender","race","educ","income","age","Voted_2020"
"1838","Suburb","Suburb Person",2,"Democrat",65,11,89,0,70,0,85,50,85,60,50,60,30,85,100,50,100,85,50,60,100,100,85,85,50,50,50,50,85,2,"Female","Black","Graduate Degree",17,NA,1
"1839","Suburb","Country Person",2,"Democrat",15,0,30,0,0,0,85,40,50,40,85,0,0,0,15,0,50,60,50,50,0,100,85,85,85,0,50,85,85,1,"Female","Black","Bachelor's Degree",16,35,1
"1840","Suburb","City Person",1,"Democrat",100,15,100,0,100,0,100,50,70,70,50,70,85,70,0,85,NA,100,40,50,0,60,50,70,50,NA,50,85,100,NA,"Female","Black","Bachelor's Degree",18,49,1
"1841","City",NA,4,"Independent",50,0,60,0,70,0,85,15,70,70,85,85,50,50,70,50,60,85,85,85,70,100,85,85,60,70,NA,100,100,6,"Male","White","Bachelor's Degree",18,73,1
"1842",NA,NA,2,"Democrat",50,30,70,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"Female","Hispanic","Bachelor's Degree",14,43,0
"1843","City","City Person",2,"Democrat",85,50,80,0,70,0,100,50,100,100,100,50,50,100,100,100,100,100,100,100,100,100,100,100,50,50,50,50,100,NA,"Female","Hispanic","Bachelor's Degree",16,30,1
"1844",NA,NA,3,"Democrat",60,30,50,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"Male","Hispanic","Bachelor's Degree",1,NA,0
"1845","City","Suburb Person",1,"Democrat",100,0,100,0,100,0,100,0,85,85,70,40,50,85,85,40,50,85,85,60,85,100,85,85,50,50,50,85,85,4,"Male","White","Bachelor's Degree",21,71,0
"1846","Suburb","Small Town Person",4,"Independent",50,70,50,70,60,70,50,60,65,75,70,50,75,90,50,70,100,75,75,65,50,90,95,85,NA,65,70,85,75,4,"Female","Asian","Less than High School",7,47,0
"1847","Small Town","Small Town Person",7,"Republican",0,100,0,100,0,100,70,50,50,0,85,50,50,70,15,50,15,70,50,100,15,50,0,15,50,50,60,50,15,NA,"Female","White","Some College",10,28,0
"1848","Suburb","Suburb Person",7,"Republican",0,85,0,100,30,95,60,85,70,50,40,65,85,70,85,40,50,85,95,85,80,85,10,30,0,100,95,45,75,6,"Female","White","Bachelor's Degree",22,80,1
"1849","Suburb","Small Town Person",6,"Republican",0,30,0,85,15,85,0,50,0,15,15,70,50,70,50,15,50,50,50,70,15,50,15,0,0,85,85,0,0,7,"Male","White","Bachelor's Degree",NA,55,0
"1850","City","City Person",1,"Democrat",75,15,90,0,85,0,100,15,100,85,75,60,40,40,100,30,70,70,85,70,100,85,70,85,60,60,40,85,85,2,"Female","White","Graduate Degree",18,73,1
"1851","Small Town","Small Town Person",2,"Democrat",60,30,70,0,60,0,85,15,30,40,50,40,30,50,40,40,40,50,40,60,40,70,15,60,40,50,50,50,60,4,"Male","White","Some College",18,62,1
"1852","Small Town","Country Person",4,"Independent",40,40,60,70,40,30,85,50,40,50,70,60,50,85,50,50,40,60,50,85,50,60,0,40,50,40,70,85,85,4,"Female","White","Some College",7,51,1
"1853","Rural Area","Country Person",7,"Republican",0,100,0,100,40,100,100,100,0,40,50,100,70,70,0,60,0,100,100,100,0,70,40,60,50,85,80,NA,85,NA,"Female","White","High School",4,67,1
"1854","Suburb","Suburb Person",5,"Republican",15,60,40,85,15,70,0,50,50,30,0,60,60,60,70,0,50,NA,NA,50,50,70,0,0,0,100,NA,15,15,4,"Male","White","Some College",10,NA,1
"1855","Suburb","Suburb Person",1,"Democrat",90,10,85,0,100,0,100,0,70,90,60,30,NA,60,100,40,100,50,90,70,100,90,85,70,60,50,NA,100,100,2,"Female","White","Graduate Degree",3,80,1
"1856","City","Suburb Person",2,"Democrat",100,30,80,0,96,0,100,30,70,75,40,50,25,40,100,50,50,40,50,60,100,85,90,60,50,50,40,80,90,2,"Female","White","Bachelor's Degree",1,30,1
"1857","City","Suburb Person",2,"Democrat",30,85,50,70,40,85,100,40,30,40,60,0,40,70,50,60,40,40,50,40,30,30,30,70,40,15,NA,50,60,4,"Female","Hispanic","Less than High School",1,58,1
"1858","Small Town","Small Town Person",4,"Independent",70,60,85,0,70,15,30,70,70,60,60,70,50,60,70,60,60,60,60,60,60,70,85,60,50,NA,NA,60,60,4,"Male","Black","Some College",1,27,0
"1859","Suburb","City Person",5,"Republican",15,65,20,70,30,80,90,10,85,50,50,50,70,90,85,20,75,85,90,90,85,98,30,60,15,75,90,50,80,5,"Male","Hispanic","Graduate Degree",21,48,1
"1860","City","City Person",1,"Democrat",80,30,80,0,100,0,100,NA,100,100,50,100,50,50,50,50,50,50,NA,100,50,100,NA,50,NA,90,NA,NA,50,2,"Male","Hispanic","High School",6,60,1
"1861","Suburb","Suburb Person",1,"Democrat",70,0,85,0,100,0,100,0,50,100,50,NA,0,40,50,70,50,30,50,50,50,100,100,85,50,50,15,85,70,2,"Male","Black","Some College",22,45,1
"1862","Small Town","Small Town Person",3,"Democrat",70,0,60,0,85,0,70,0,40,30,50,0,0,30,85,0,30,0,50,15,40,85,15,50,60,0,NA,50,50,3,"Female","White","Some College",5,40,1
"1863","City","City Person",2,"Democrat",70,40,85,0,100,0,100,NA,50,NA,50,NA,NA,50,40,50,50,50,50,85,40,85,100,100,NA,NA,50,NA,70,NA,"Female","Hispanic","High School",10,37,1
"1864","Rural Area","Country Person",5,"Republican",10,40,0,75,0,85,15,50,40,50,50,50,50,50,50,40,50,50,50,50,50,50,40,30,30,60,50,40,30,5,"Female","White","Bachelor's Degree",3,27,1
"1865","Small Town","Suburb Person",3,"Democrat",30,0,60,0,80,0,90,0,30,75,80,0,30,20,85,0,15,15,85,50,80,90,90,65,15,0,50,70,65,2,"Male","White","Bachelor's Degree",10,49,1
"1866","Small Town","City Person",5,"Republican",40,70,30,NA,40,70,60,50,70,40,40,60,70,85,50,60,0,100,50,100,50,85,60,40,0,100,85,60,85,6,"Male","White","High School",20,80,1
"1867","City","City Person",7,"Republican",15,70,30,70,30,60,70,50,40,30,85,40,60,50,70,30,70,50,100,70,70,50,40,50,50,85,50,70,70,4,"Male","White","High School",19,54,1
"1868","Rural Area","Country Person",1,"Democrat",NA,0,85,0,70,0,85,15,75,70,60,20,35,40,75,40,75,75,75,80,75,85,75,50,75,50,100,80,80,2,"Female","White","Graduate Degree",13,44,1
"1869","Suburb","Suburb Person",6,"Republican",30,40,60,0,75,0,100,85,40,40,40,75,70,90,50,40,80,100,80,90,40,90,40,90,15,80,100,65,100,4,"Male","White","Graduate Degree",21,59,1
"1870","Suburb","Suburb Person",6,"Republican",40,60,30,15,40,15,95,30,50,40,0,95,60,80,50,20,50,75,40,50,35,90,40,75,5,80,50,90,95,5,"Male","White","Graduate Degree",22,46,1
"1871","Suburb","Suburb Person",1,"Democrat",70,30,85,15,85,0,85,40,85,60,60,70,40,60,85,60,60,70,70,70,85,85,70,100,30,70,70,85,50,2,"Male","White","Bachelor's Degree",6,69,1
"1872","City","City Person",5,"Republican",40,60,15,70,15,60,30,50,30,15,50,40,85,50,85,60,85,85,85,85,50,85,15,15,15,50,85,40,50,5,"Male","Hispanic","High School",11,39,0
"1873","Small Town","Small Town Person",4,"Independent",70,70,100,0,85,0,100,15,70,50,70,60,60,85,70,70,50,40,70,70,50,85,85,85,40,60,85,85,85,3,"Male","White","Graduate Degree",NA,77,1
"1874","Suburb","City Person",1,"Democrat",70,15,85,0,100,0,100,20,100,90,100,20,10,60,50,50,80,70,90,60,50,100,100,90,85,10,80,100,100,2,"Female","White","Some College",17,80,1
"1875",NA,NA,7,"Republican",90,90,15,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"Female","White","Bachelor's Degree",2,29,0
"1876","City","Suburb Person",1,"Democrat",75,0,85,0,100,0,100,60,85,100,50,15,15,40,100,60,85,100,100,60,85,100,100,85,50,85,100,85,85,2,"Female","Black","Bachelor's Degree",8,72,1
"1877","Suburb","Suburb Person",7,"Republican",30,40,40,40,60,30,100,30,30,40,30,70,50,100,85,50,85,85,85,85,85,85,50,50,30,40,50,75,100,4,"Female","White","Graduate Degree",22,50,1
"1878","Suburb","Suburb Person",4,"Independent",35,30,65,45,60,45,90,0,50,35,60,20,40,50,85,30,50,40,50,70,85,100,60,35,0,75,60,75,75,4,"Male","White","Bachelor's Degree",1,38,1
"1879","Suburb","Suburb Person",1,"Democrat",60,15,70,30,100,0,85,30,70,70,60,50,30,50,100,60,70,50,85,70,85,100,70,85,50,50,60,85,85,2,"Male","Asian","Graduate Degree",22,53,1
"1880","Small Town","Small Town Person",4,"Independent",55,40,75,0,90,0,95,60,70,65,60,50,60,60,80,65,NA,NA,NA,65,65,70,85,65,50,60,100,80,90,4,"Female","White",NA,17,63,1
"1881","Small Town","City Person",4,"Independent",30,70,30,70,50,60,50,50,50,40,50,50,60,70,50,50,50,50,50,85,50,50,15,50,15,50,50,50,50,5,"Female","White","High School",NA,70,1
"1882","Suburb","Suburb Person",1,"Democrat",75,0,85,0,85,0,85,10,50,75,50,15,15,50,50,1,50,30,50,50,0,85,50,50,50,40,40,60,70,3,"Male","White","Some College",15,50,1
"1883","Rural Area","Country Person",7,"Republican",30,85,30,75,15,85,30,100,50,15,50,50,100,85,40,50,50,100,50,100,0,50,50,40,0,NA,NA,100,85,7,"Female","Other","Some College",11,26,1
"1884","Small Town","Small Town Person",5,"Republican",40,85,40,85,60,40,100,50,50,40,60,40,60,85,50,40,50,60,50,100,50,85,50,60,50,NA,85,NA,70,4,"Female","White","Some College",6,75,0
"1885","Suburb","Suburb Person",1,"Democrat",85,0,85,0,85,0,100,40,75,85,75,50,20,40,85,55,85,75,75,45,85,100,100,85,50,60,50,85,85,2,"Male",NA,"Graduate Degree",NA,NA,1
"1886","Small Town","Small Town Person",6,"Republican",30,40,40,60,60,60,70,70,50,60,60,70,70,60,50,60,50,100,100,85,50,85,70,85,0,70,100,70,60,5,"Male","White","Bachelor's Degree",19,49,1
"1887","Small Town","Small Town Person",6,"Republican",15,85,30,85,30,85,70,60,50,30,50,50,85,50,15,60,40,100,100,100,0,70,30,40,15,30,100,70,70,6,"Female","White","Bachelor's Degree",9,63,1
"1888","Suburb","City Person",4,"Independent",70,0,85,0,85,0,100,50,50,60,40,50,30,40,15,30,50,50,50,50,15,85,50,60,30,50,NA,40,50,5,"Male","White","Some College",18,77,1
"1889","Suburb","Country Person",1,"Democrat",60,0,100,0,100,0,95,10,50,50,50,70,50,50,50,0,50,50,50,70,50,100,50,70,30,75,50,100,75,3,"Male","White","Bachelor's Degree",12,65,1
"1890","Small Town","Small Town Person",4,"Independent",50,50,50,50,40,60,50,60,30,50,60,30,40,50,50,50,50,100,50,40,50,40,70,50,50,50,60,NA,50,5,"Male","White","High School",2,56,1
"1891","Suburb","Small Town Person",1,"Democrat",60,15,70,0,60,0,100,50,40,40,60,30,60,40,70,15,50,100,85,70,60,70,60,50,15,30,NA,60,85,7,"Female","White","High School",9,72,1
"1892","Suburb","City Person",1,"Democrat",45,5,70,0,75,0,90,50,50,50,50,5,20,30,50,10,50,50,50,30,50,90,50,50,50,10,30,70,60,2,"Male","Asian","Bachelor's Degree",14,25,1
"1893","City","City Person",4,"Independent",70,40,70,40,85,40,70,40,50,60,40,40,70,70,50,40,50,85,50,70,50,85,50,85,60,70,50,60,70,4,"Male","White","High School",9,80,0
"1894","Rural Area","Small Town Person",4,"Independent",10,65,0,75,0,100,15,30,0,0,50,0,50,60,30,30,0,85,100,85,0,70,0,40,30,NA,100,NA,30,5,"Male","White","Bachelor's Degree",NA,69,1
"1895",NA,NA,3,"Democrat",75,0,100,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"Male","Hispanic","Graduate Degree",11,NA,0
"1896","City","Country Person",2,"Democrat",50,50,50,30,60,25,50,60,80,90,100,80,NA,55,100,40,100,100,100,65,100,80,60,60,45,90,NA,100,100,3,"Male","Hispanic","Some College",4,23,1
"1897","City","City Person",4,"Independent",30,30,70,0,85,0,100,30,50,60,50,50,60,70,70,30,50,60,60,60,50,85,40,70,15,60,60,50,60,5,"Male","White","High School",19,56,1
"1898","Suburb","Country Person",3,"Democrat",60,40,80,0,75,1,80,30,50,60,60,60,60,80,50,30,50,50,50,80,50,90,80,90,50,50,70,90,90,3,"Male","White","Graduate Degree",15,35,1
"1899","Rural Area","Country Person",6,"Republican",15,60,15,100,50,100,60,70,40,50,30,40,100,70,80,40,60,80,80,75,60,75,15,30,15,60,100,40,70,6,"Female","White","Some College",8,80,1
"1900","Rural Area","Small Town Person",7,"Republican",15,70,15,100,15,85,60,60,15,0,0,40,85,70,50,0,50,85,85,85,50,85,NA,0,0,50,85,15,60,6,"Female","White","Some College",14,64,0
"1901","City","City Person",7,"Republican",2,1,0,0,50,60,100,15,70,70,100,0,40,30,50,0,40,60,50,30,60,100,60,50,100,0,40,60,60,5,"Male","White","Some College",5,65,0
"1902","Small Town","Country Person",1,"Democrat",70,0,100,0,0,0,30,50,70,50,60,50,50,50,70,30,50,60,50,70,70,100,70,70,60,40,70,60,70,NA,"Female","Black","Some College",8,62,1
"1903","Small Town","Small Town Person",1,"Democrat",70,40,70,15,70,15,80,40,85,50,60,50,60,60,70,50,50,70,60,40,40,60,85,60,NA,NA,60,60,60,NA,"Female","Hispanic","Some College",2,54,1
"1904","City","City Person",5,"Republican",15,70,30,NA,0,100,60,70,50,30,15,60,70,100,70,0,50,85,50,85,50,70,15,0,0,80,70,15,40,5,"Female","White","Bachelor's Degree",20,70,1
"1905","City","City Person",1,"Democrat",85,10,70,0,75,0,100,0,35,85,85,45,15,30,90,55,65,35,70,40,50,100,70,85,40,70,40,75,100,2,"Male","White","Graduate Degree",21,38,1
"1906","Suburb","Suburb Person",1,"Democrat",70,0,85,0,85,0,70,0,50,50,50,30,15,30,50,30,50,30,100,50,40,85,50,40,15,40,40,40,50,3,"Male","White","Graduate Degree",21,54,1
"1907","Small Town","Suburb Person",6,"Republican",60,85,60,75,70,70,85,50,50,50,100,30,50,85,0,50,0,60,100,100,50,85,50,60,50,50,100,85,85,NA,"Male","White","High School",7,72,1
"1908","Suburb","City Person",1,"Democrat",100,0,85,0,85,0,95,20,85,75,75,75,25,75,100,50,100,25,100,75,100,100,75,50,60,50,50,50,50,2,"Female","White","Bachelor's Degree",21,75,0
"1909","Suburb","Small Town Person",4,"Independent",20,20,0,85,30,35,100,50,75,50,100,45,50,60,70,60,50,100,50,85,50,60,85,50,40,40,85,50,90,NA,"Female","White","High School",3,66,1
"1910","Small Town","Country Person",4,"Independent",60,15,50,0,100,0,50,16,40,50,0,50,0,86,86,50,40,50,50,40,60,86,0,40,NA,50,85,100,85,4,"Male","White","Bachelor's Degree",10,52,1
"1911","Suburb","Suburb Person",1,"Democrat",70,15,80,0,85,0,100,5,80,100,50,40,15,75,100,60,100,60,100,60,100,100,90,80,40,40,50,90,80,2,"Female","White","Bachelor's Degree",21,56,1
"1912","Suburb","Suburb Person",1,"Democrat",86,30,70,0,85,0,100,40,100,100,70,40,40,85,70,85,70,85,100,70,70,85,85,70,60,60,85,85,100,3,"Female","White","Graduate Degree",9,70,1
"1913","Small Town","Country Person",2,"Democrat",40,50,50,70,30,40,70,15,40,60,70,30,50,60,50,30,30,50,50,60,15,70,0,60,40,30,85,60,60,3,"Female","White",NA,13,68,1
"1914","Small Town","Country Person",5,"Republican",50,50,30,75,15,80,35,50,25,40,40,50,55,70,50,15,50,50,50,75,50,75,0,50,0,50,75,40,60,5,"Male","Other","Bachelor's Degree",10,25,1
"1915","Suburb","Suburb Person",6,"Republican",40,60,30,50,50,60,50,60,50,40,50,70,60,60,50,50,50,70,50,60,50,70,50,60,15,50,50,30,50,4,"Male","White","Bachelor's Degree",1,22,0
"1916","City","City Person",1,"Democrat",80,0,85,0,90,0,100,50,75,70,75,40,65,40,50,30,90,85,90,5,50,100,100,90,40,50,30,100,100,4,"Female","Black","Bachelor's Degree",4,63,0
"1917","Suburb","Small Town Person",7,"Republican",0,85,0,100,15,85,15,60,70,30,30,60,85,60,60,40,60,85,85,100,50,50,0,15,0,85,100,15,50,4,"Male","White","Bachelor's Degree",19,80,1
"1918","Rural Area","Country Person",7,"Republican",0,85,15,85,15,85,30,100,0,0,30,50,100,70,15,30,0,100,100,85,15,15,0,0,0,85,70,15,40,7,"Male","White","Some College",16,55,1
"1919","City","City Person",2,"Democrat",70,50,60,30,60,40,85,15,40,60,40,40,30,40,60,50,70,70,60,40,40,60,40,50,60,40,40,70,70,3,"Female","Asian","Graduate Degree",22,35,1
"1920","Suburb","Suburb Person",5,"Republican",0,50,30,85,15,85,85,40,100,60,85,75,85,100,100,0,85,100,100,95,100,100,85,40,0,85,100,50,50,6,"Female","White","Some College",21,41,1
"1921","Small Town","City Person",1,"Democrat",75,0,85,0,80,0,100,0,85,85,85,50,15,30,70,80,60,60,85,50,70,100,90,60,75,40,50,100,60,1,"Male","Hispanic","Bachelor's Degree",20,68,1
"1922","City","City Person",1,"Democrat",85,0,100,0,100,0,100,0,100,100,70,15,0,30,100,40,100,40,100,70,100,100,100,100,85,15,15,100,100,2,"Female","White","Bachelor's Degree",22,43,1
"1923","Suburb","Suburb Person",1,"Democrat",70,0,70,0,80,0,100,0,85,85,50,50,20,40,50,15,50,50,100,75,80,90,85,85,40,70,50,90,90,2,"Female","White","Graduate Degree",17,68,0
"1924","Rural Area","Country Person",6,"Republican",15,70,NA,85,0,70,60,50,50,0,40,50,70,70,50,50,50,70,70,85,15,70,0,15,0,NA,NA,60,70,6,"Female","White","Bachelor's Degree",10,80,1
"1925",NA,NA,6,"Republican",15,60,30,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"Female","White","Bachelor's Degree",19,64,0
"1926","Small Town","City Person",3,"Democrat",50,0,15,0,60,0,60,0,100,85,50,0,0,0,100,0,100,0,100,0,100,70,100,50,100,0,40,85,50,1,"Female","White","Some College",1,24,1
"1927","City","City Person",3,"Democrat",60,0,85,0,85,0,85,40,50,60,60,50,50,30,50,40,50,50,50,30,50,70,70,70,50,40,50,70,70,1,"Female","Asian","Some College",11,62,1
"1928","Small Town","Small Town Person",1,"Democrat",60,50,70,0,100,15,85,100,100,100,70,60,85,50,100,85,85,100,85,50,85,100,70,100,100,85,70,100,100,2,"Male","Hispanic","Less than High School",9,58,0
"1929","City","City Person",2,"Democrat",60,30,70,0,85,0,100,0,100,85,100,40,85,70,100,60,100,100,100,60,100,100,100,100,100,100,50,100,100,3,"Male","White","Bachelor's Degree",10,32,1
"1930","Rural Area","Small Town Person",1,"Democrat",30,30,60,0,70,15,85,50,70,70,85,40,70,70,70,30,70,70,70,70,70,85,70,70,70,70,70,50,50,2,"Male","White","Bachelor's Degree",11,36,1
"1931",NA,NA,5,"Republican",50,50,40,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"Female","White","Bachelor's Degree",13,29,0
"1932","City","City Person",2,"Democrat",15,60,50,60,60,40,40,50,40,30,60,30,60,85,70,40,70,60,85,70,70,70,30,30,30,50,70,70,50,3,"Female","White","Bachelor's Degree",19,67,1
"1933","Small Town","Suburb Person",7,"Republican",15,70,30,85,30,85,70,70,40,30,60,60,85,60,50,40,70,85,85,85,50,70,30,15,0,85,85,60,70,6,"Male","White","Less than High School",9,60,1
"1934","City","Suburb Person",2,"Democrat",70,60,70,40,100,0,85,85,100,60,70,40,60,70,85,40,100,100,100,70,70,100,100,60,50,NA,50,85,100,5,"Female","White","Bachelor's Degree",17,41,1
"1935","Small Town","Country Person",7,"Republican",0,85,0,100,0,100,15,70,60,0,70,15,100,15,40,10,0,100,0,100,0,70,0,60,NA,NA,NA,30,30,NA,"Female","White","Some College",10,25,0
"1936","City","Small Town Person",3,"Democrat",0,0,50,0,23,0,100,0,87,0,98,9,0,0,100,0,0,0,0,67,100,98,100,34,NA,NA,NA,100,NA,1,"Male","White","Some College",16,30,0
"1937","Suburb","City Person",1,"Democrat",85,30,0,30,10,0,60,50,50,50,100,50,50,50,50,60,50,50,50,60,50,60,85,50,NA,50,NA,60,60,NA,"Male","Black","Less than High School",7,63,1
"1938","Rural Area","Country Person",3,"Democrat",50,50,60,0,60,0,70,0,60,60,60,50,50,70,50,50,50,50,50,85,50,50,50,60,0,0,85,50,60,NA,"Female","White","High School",NA,67,0
"1939","Small Town","Small Town Person",6,"Republican",10,80,0,85,0,85,0,100,0,0,50,75,100,85,50,80,50,100,50,85,50,40,0,50,0,60,100,40,60,6,"Female","Other","Bachelor's Degree",17,47,1
"1940","City","City Person",5,"Republican",15,70,15,70,50,50,100,50,100,50,100,50,50,50,50,50,100,50,100,100,50,100,100,50,50,50,50,100,100,4,"Male","White","Less than High School",2,54,1
"1941","Suburb","Suburb Person",1,"Democrat",70,15,60,15,70,0,70,50,70,60,50,40,50,50,50,50,NA,50,50,40,50,50,70,50,60,30,60,70,70,4,"Female","Black","Bachelor's Degree",9,71,0
"1942","City","Suburb Person",1,"Democrat",60,15,60,0,85,0,100,30,100,100,100,30,15,60,100,85,50,70,70,100,85,100,65,60,80,80,50,70,100,1,"Female","White","Graduate Degree",21,45,1
"1943",NA,NA,3,"Democrat",70,15,85,0,90,0,100,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"Female","White","Some College",1,63,1
"1944","Suburb","Suburb Person",2,"Democrat",70,50,85,NA,100,0,70,85,100,85,100,60,50,70,100,60,85,100,100,85,100,100,100,70,50,50,100,NA,85,NA,"Female","Other","High School",8,42,1
"1945","Suburb","Suburb Person",3,"Democrat",70,0,85,0,90,0,95,30,60,65,60,30,10,30,50,30,50,40,50,60,50,90,70,60,40,30,50,60,60,4,"Male","White","Bachelor's Degree",21,55,1
"1946","City","City Person",5,"Republican",40,60,40,60,30,80,80,0,65,30,15,50,40,50,50,30,50,50,50,75,50,85,40,15,0,100,50,50,50,5,"Female","White","Bachelor's Degree",20,63,0
"1947","Small Town","City Person",1,"Democrat",40,0,60,15,70,15,70,30,85,60,60,40,30,40,50,30,70,70,50,40,50,85,70,60,85,70,60,30,60,2,"Female","White","Bachelor's Degree",13,73,1
"1948","Suburb","Suburb Person",2,"Democrat",70,30,70,15,85,15,85,60,50,60,60,60,40,60,50,40,50,70,85,55,40,60,55,60,15,70,70,70,70,4,"Male","Black","Graduate Degree",20,62,1
"1949","Small Town","Country Person",4,"Independent",15,30,15,40,30,30,40,60,30,30,30,50,40,80,50,0,50,60,80,50,50,60,0,0,0,90,80,0,60,4,"Male","Other","Graduate Degree",NA,50,1
"1950","Rural Area","Small Town Person",2,"Democrat",70,40,70,40,85,0,85,85,85,30,60,85,30,50,50,70,50,100,50,85,15,85,85,70,NA,NA,85,85,100,4,"Female","Black","Bachelor's Degree",5,49,1
"1951","Rural Area","Country Person",1,"Democrat",70,0,70,0,75,0,75,70,30,70,95,40,50,15,60,60,60,90,75,60,50,85,40,80,55,40,80,70,70,NA,"Male","White","Some College",20,58,1
"1952","Suburb","Small Town Person",7,"Republican",50,85,40,85,25,90,75,85,50,65,45,85,90,85,55,75,55,90,75,90,50,85,25,55,40,85,90,75,80,NA,"Male","White","Bachelor's Degree",9,77,1
"1953","City","City Person",1,"Democrat",85,0,100,0,100,0,100,40,85,100,100,15,15,60,100,70,100,40,100,60,100,100,100,85,85,30,100,100,100,2,"Female","White","Some College",11,80,1
"1954","Small Town","Small Town Person",5,"Republican",0,15,15,0,30,0,85,15,40,15,50,50,60,50,50,0,0,30,60,70,50,85,15,30,15,60,70,70,60,5,"Male","White","Graduate Degree",22,78,1
"1955","Small Town","Country Person",7,"Republican",0,60,0,70,30,85,30,50,30,30,40,100,70,60,50,60,30,85,50,85,0,50,0,15,0,85,100,50,50,6,"Male","White","Some College",NA,69,1
"1956","Rural Area","Small Town Person",6,"Republican",50,50,55,55,30,40,0,30,85,40,50,0,40,50,100,50,70,70,70,40,85,85,60,85,15,0,100,NA,70,2,"Female","Native American","Bachelor's Degree",16,49,1
"1957","Rural Area",NA,6,"Republican",0,85,0,100,0,100,70,50,30,0,60,80,100,85,50,0,50,100,85,85,50,70,0,40,0,100,85,15,70,7,"Male","White","Some College",22,79,1
"1958","Suburb","City Person",1,"Democrat",85,0,100,0,100,0,100,15,100,100,50,100,40,40,100,30,85,85,100,85,85,100,85,85,50,85,40,100,100,2,"Female","White","Graduate Degree",19,68,1
"1959","City","Small Town Person",7,"Republican",15,100,15,100,0,100,0,100,50,50,40,15,85,50,50,50,50,100,70,100,30,50,0,0,0,0,100,0,50,6,"Female","White","Some College",5,57,1
"1960","Small Town","Suburb Person",3,"Democrat",70,40,65,0,70,0,50,70,70,85,85,30,40,40,100,40,85,85,70,30,100,85,100,60,60,30,50,85,100,NA,"Female","Black","Some College",14,26,0
"1961","Rural Area","Country Person",7,"Republican",15,70,40,30,15,15,85,100,70,0,85,60,100,60,0,15,15,100,100,85,0,85,15,30,0,85,85,60,60,7,"Male","White","High School",9,78,1
"1962","City","City Person",7,"Republican",20,90,0,100,0,100,0,75,20,50,70,75,75,50,50,70,50,75,75,80,50,70,0,20,0,0,NA,20,0,4,"Female","White","Some College",3,34,0
"1963","Rural Area","Country Person",4,"Independent",50,50,0,70,0,0,0,60,60,50,100,50,50,50,60,50,50,100,50,100,60,70,50,25,50,50,100,50,25,4,"Female","White","Some College",4,54,0
"1964","City","City Person",4,"Independent",40,40,60,NA,85,50,60,30,70,NA,50,85,85,60,85,60,30,60,50,60,70,85,60,70,0,70,NA,85,70,4,"Female","Hispanic","Some College",4,46,0
"1965","Small Town","City Person",3,"Democrat",60,15,85,0,85,0,85,15,85,70,70,50,50,60,100,15,70,50,70,70,85,85,85,70,50,50,85,70,70,2,"Female","White","Bachelor's Degree",17,72,1
"1966","Suburb","Country Person",4,"Independent",40,40,70,40,70,30,70,50,50,NA,50,50,NA,60,85,30,85,85,85,85,85,70,85,70,NA,NA,NA,40,50,4,"Female","White","High School",NA,49,1
"1967","Rural Area","Small Town Person",7,"Republican",0,60,0,100,0,100,50,50,15,50,15,15,100,70,50,0,30,100,85,85,30,50,0,0,0,85,100,0,50,6,"Female","White","Bachelor's Degree",12,51,1
"1968","City","City Person",5,"Republican",15,30,70,0,85,0,100,30,60,70,40,70,40,85,85,15,50,70,70,70,85,85,70,30,15,85,60,60,70,5,"Male","White","Graduate Degree",22,69,1
"1969",NA,NA,7,"Republican",100,50,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"Male","Black","Some College",1,68,0
